city,district,ward
Tây Ninh,Gò Dầu,Gò Dầu
Tây Ninh,Gò Dầu,Hiệp Thạnh
Tây Ninh,Gò Dầu,Phước Đông
Tây Ninh,Hòa Thành,Long Thành Trung
Tây Ninh,Hòa Thành,Trường Tây
Tây Ninh,Tây Ninh,Phường 4
Tây Ninh,Tây Ninh,Phường 2
Tây Ninh,Tây Ninh,Ninh Thạnh
Tây Ninh,Tây Ninh,Ninh Sơn
Tây Ninh,Trảng Bàng,An Tịnh
Tây Ninh,Trảng Bàng,Trảng Bàng
Tiền Giang,Mỹ Tho,Phường 4
Tiền Giang,Mỹ Tho,Phường 10
Tiền Giang,Mỹ Tho,Mỹ Phong
Tiền Giang,Mỹ Tho,Phường 5
Tiền Giang,Mỹ Tho,Phường 6
Tiền Giang,Mỹ Tho,Tân Mỹ Chánh
Tiền Giang,Mỹ Tho,Đạo Thạnh
Tiền Giang,Mỹ Tho,Trung An
Tiền Giang,Chợ Gạo,Trung Hòa
Tiền Giang,Chợ Gạo,Hòa Tịnh
Tiền Giang,Châu Thành,Long Định
Tiền Giang,Châu Thành,Tân Hương
Tiền Giang,Châu Thành,Thân Cửu Nghĩa
Tiền Giang,Châu Thành,Tân Lý Đông
Tiền Giang,Châu Thành,Tam Hiệp
Tiền Giang,Cai Lậy,Phường 1
Tiền Giang,Gò Công,Phường 2
Hà Tĩnh,Thạch Hà,Thạch Hà
Hà Tĩnh,Thạch Hà,Thạch Xuân
Hà Tĩnh,Nghi Xuân,Xuân Thành
Lạng Sơn,Lạng Sơn,Mai Pha
Lạng Sơn,Lạng Sơn,Đông Kinh
Lạng Sơn,Lạng Sơn,Chi Lăng
Lào Cai,Sa Pa,Phan Si Păng
Lào Cai,Sa Pa,Mường Hoa
Lào Cai,Sa Pa,Sa Pa
Lào Cai,Sa Pa,Tả Phìn
Lào Cai,Lào Cai,Kim Tân
Lào Cai,Lào Cai,Bắc Cường
Lào Cai,Lào Cai,Đồng Tuyển
Điện Biên,Điện Biên Phủ,Mường Thanh
Gia Lai,Pleiku,Trà Bá
Gia Lai,Pleiku,Trà Đa
Gia Lai,Pleiku,Ia Kring
Gia Lai,Pleiku,Thắng Lợi
Gia Lai,Pleiku,Yên Đỗ
Gia Lai,Ia Grai,Ia Dêr
Gia Lai,Chư Păh,Phú Hòa
Phú Yên,Đông Hòa,Hoà Hiệp Trung
Phú Yên,Đông Hòa,Hòa Xuân Nam
Phú Yên,Đông Hòa,Hòa Hiệp Bắc
Phú Yên,Sông Cầu,Xuân Đài
Phú Yên,Tuy Hoà,Bình Kiến
Phú Yên,Tuy Hoà,Phường 9
Phú Yên,Tuy Hoà,Phú Lâm
Phú Yên,Tuy Hoà,Phú Đông
Bến Tre,Bến Tre,Phường 8
Bến Tre,Bến Tre,Bình Phú
Bến Tre,Bến Tre,Phú Khương
Bến Tre,Châu Thành,Tiên Thủy
Bến Tre,Chợ Lách,Long Thới
An Giang,Long Xuyên,Mỹ Phước
An Giang,Long Xuyên,Mỹ Quý
An Giang,Châu Đốc,Vĩnh Mỹ
An Giang,Tịnh Biên,Nhà Bàng
Quảng Ngãi,Quảng Ngãi,Trần Phú
Quảng Ngãi,Quảng Ngãi,Chánh Lộ
Quảng Ngãi,Quảng Ngãi,Nghĩa Lộ
Quảng Ngãi,Quảng Ngãi,Nghĩa Chánh
Quảng Ngãi,Quảng Ngãi,Trương Quang Trọng
Hà Giang,Hà Giang,Minh Khai
Nam Định,Giao Thủy,Quất Lâm
Nam Định,Nam Định,Cửa Nam
Nam Định,Nam Định,Lộc Hòa
Nam Định,Nam Định,Lộc Vượng
Nam Định,Nam Định,Mỹ Xá
Nam Định,Nghĩa Hưng,Nghĩa Hải
Sóc Trăng,Sóc Trăng,Phường 4
Sóc Trăng,Sóc Trăng,Phường 6
Ninh Bình,Kim Sơn,Ân Hòa
Yên Bái,Yên Bái,Nguyễn Thái Học
Yên Bái,Yên Bái,Yên Ninh
Yên Bái,Nghĩa Lộ,Nghĩa Lợi
Cà Mau,Cà Mau,Phường 9
Cà Mau,Trần Văn Thời,Sông Đốc
Bạc Liêu,Vĩnh Lợi,Châu Hưng
Bạc Liêu,Bạc Liêu,Phường 1
Vĩnh Long,Vĩnh Long,Phường 9
Vĩnh Long,Vĩnh Long,Phường 5
Vĩnh Long,Vĩnh Long,Phường 3
Vĩnh Long,Bình Minh,Thành Phước
Vĩnh Long,Long Hồ,Thanh Đức
Đồng Tháp,Sa Đéc,Tân Quy Tây
Đồng Tháp,Sa Đéc,Phường 2
Đồng Tháp,Cao Lãnh,Phường 6
Đồng Tháp,Cao Lãnh,Phường 4
Hậu Giang,Phụng Hiệp,Thạnh Hòa
Quảng Bình,Quảng Trạch,Quảng Đông
